,id,age,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person,sex
55,dw0p5aus,24.0,8.0,70 000 - 100 000 rubles,6.0,4.0,9.0,5,4,0.5,2.625,0
56,nhrultn8,20.0,7.0,40 000 - 70 000 rubles,7.0,8.0,2.0,4,6,0.5,1.75,0
57,knz9rl9y,20.0,8.0,70 000 - 100 000 rubles,10.0,10.0,1.0,5,2,0.75,2.125,0
58,gisfg4h9,20.0,9.0,70 000 - 100 000 rubles,8.0,4.0,8.0,5,6,0.625,1.0,0
59,5ud4qjhj,20.0,5.0,20 000 - 40 000 rubles,7.0,6.0,8.0,3,6,0.75,1.625,1
60,exnfiplb,21.0,8.0,20 000 - 40 000 rubles,7.0,8.0,7.0,3,4,0.5,1.0,0
61,4pwfi1p4,21.0,8.0,70 000 - 100 000 rubles,3.0,9.0,2.0,5,4,0.625,2.0,0
62,l6bvwme4,21.0,9.0,40 000 - 70 000 rubles,7.0,7.0,5.0,4,4,0.75,1.0,1
63,eqchj0w7,21.0,9.0,<10 000 rubles,7.0,3.0,3.0,1,1,0.625,1.0,1
64,dg903mo3,21.0,7.0,40 000 - 70 000 rubles,10.0,8.0,8.0,4,7,0.5,1.25,1
65,7iw5gvwz,21.0,5.0,>100 000 rubles,5.0,10.0,3.0,6,6,0.5,1.0,1
66,w7tw5x8r,21.0,8.0,20 000 - 40 000 rubles,9.0,3.0,2.0,3,6,0.75,1.875,0
67,6ixv8n1i,21.0,9.0,20 000 - 40 000 rubles,8.0,2.0,5.0,3,8,0.5,1.25,0
68,0t505mu7,19.0,5.0,10 000 - 20 000 rubles,9.0,5.0,8.0,2,7,0.5,2.625,1
69,b8icfsi6,21.0,7.0,40 000 - 70 000 rubles,7.0,5.0,10.0,4,4,0.875,1.0,0
70,e0bpat9i,22.0,7.0,40 000 - 70 000 rubles,7.0,2.0,7.0,4,8,0.875,2.375,0
71,3qcyrqp3,24.0,8.0,>100 000 rubles,8.0,2.0,8.0,6,9,0.5,2.5,1
